,pca_m0,proba
771,-0.004579999999999999,0.67509145
772,-0.00456,0.6730485
773,-0.004539999999999999,0.6709949
774,-0.00452,0.66893125
775,-0.004499999999999999,0.6668571
776,-0.00448,0.6647726
777,-0.004459999999999999,0.6626777
778,-0.0044399999999999995,0.6605723
779,-0.004419999999999999,0.6584567
780,-0.004399999999999999,0.6563302
781,-0.0043799999999999985,0.65419364
782,-0.004359999999999999,0.6520463
783,-0.00434,0.6498886
784,-0.0043199999999999975,0.64772034
785,-0.004299999999999998,0.64554155
786,-0.004279999999999999,0.64335215
787,-0.00426,0.64115214
788,-0.004240000000000001,0.6389415
789,-0.004219999999999998,0.6367204
790,-0.004199999999999999,0.6344886
791,-0.00418,0.6322465
792,-0.0041600000000000005,0.62999314
793,-0.004139999999999998,0.62772936
794,-0.004119999999999999,0.6254549
795,-0.0040999999999999995,0.62317014
796,-0.00408,0.62087405
797,-0.004059999999999998,0.6185677
798,-0.0040399999999999985,0.6162505
799,-0.004019999999999999,0.61392254
800,-0.004,0.6115838
801,-0.003979999999999997,0.6092342
802,-0.003959999999999998,0.60687417
803,-0.003939999999999999,0.60450333
804,-0.00392,0.6021216
805,-0.0039000000000000007,0.59972936
806,-0.003879999999999998,0.59732604
807,-0.003859999999999999,0.59491193
808,-0.0038399999999999997,0.592487
809,-0.0038200000000000005,0.59005165
810,-0.003799999999999998,0.5876055
811,-0.0037799999999999986,0.58514816
812,-0.0037599999999999995,0.5826802
813,-0.0037400000000000003,0.58020157
814,-0.0037199999999999976,0.5777118
815,-0.0036999999999999984,0.57521147
816,-0.0036799999999999992,0.57270026
817,-0.00366,0.57017833
818,-0.0036399999999999974,0.5676455
819,-0.0036199999999999982,0.565102
820,-0.003599999999999999,0.56254756
821,-0.00358,0.55998266
822,-0.0035600000000000007,0.5574067
823,-0.003539999999999998,0.55481994
824,-0.003519999999999999,0.55222243
825,-0.0034999999999999996,0.5496142
826,-0.0034800000000000005,0.54699504
827,-0.003459999999999998,0.54436535
828,-0.0034399999999999986,0.5417248
829,-0.0034199999999999994,0.5390737
830,-0.0034000000000000002,0.5364115
831,-0.0033799999999999976,0.5337386
832,-0.0033599999999999984,0.53105515
833,-0.0033399999999999992,0.52836126
834,-0.00332,0.5256566
835,-0.0032999999999999974,0.5229408
836,-0.003279999999999998,0.5202148
837,-0.003259999999999999,0.517478
838,-0.00324,0.51473033
839,-0.0032200000000000006,0.5119725
840,-0.003199999999999998,0.50920373
841,-0.003179999999999999,0.50642455
842,-0.0031599999999999996,0.50363463
843,-0.0031400000000000004,0.50083417
844,-0.0031199999999999978,0.49802324
845,-0.0030999999999999986,0.49520195
846,-0.0030799999999999994,0.49237022
847,-0.0030600000000000002,0.48952767
848,-0.0030399999999999976,0.48667496
849,-0.0030199999999999984,0.4838114
850,-0.002999999999999999,0.4809378
851,-0.00298,0.47805402
852,-0.0029599999999999974,0.47515956
853,-0.002939999999999998,0.47225487
854,-0.002919999999999999,0.46933982
855,-0.0029,0.46641472
856,-0.0028800000000000006,0.463479
857,-0.002859999999999998,0.46053332
858,-0.0028399999999999988,0.45757723
859,-0.0028199999999999996,0.45461124
860,-0.0028000000000000004,0.4516349
861,-0.0027799999999999978,0.44864866
862,-0.0027599999999999986,0.44565246
863,-0.0027399999999999994,0.442646
864,-0.00272,0.43962955
865,-0.0026999999999999975,0.4366034
866,-0.0026799999999999984,0.43356714
867,-0.002659999999999999,0.43052095
868,-0.00264,0.42746508
869,-0.0026199999999999973,0.4243991
870,-0.002599999999999998,0.42132375
871,-0.002579999999999999,0.4182385
872,-0.0025599999999999998,0.41514334
873,-0.0025400000000000006,0.41203883
874,-0.002519999999999998,0.40892467
875,-0.0024999999999999988,0.40580097
876,-0.0024799999999999996,0.40266746
877,-0.0024600000000000004,0.3995251
878,-0.0024399999999999977,0.39637253
879,-0.0024199999999999985,0.39321107
880,-0.0023999999999999994,0.39004034
881,-0.00238,0.3868602
882,-0.0023599999999999975,0.3836706
883,-0.0023399999999999983,0.38047215
884,-0.002319999999999999,0.3772643
885,-0.0023,0.37404755
886,-0.0022799999999999973,0.37082168
887,-0.002259999999999998,0.36758685
888,-0.002239999999999999,0.36434314
889,-0.0022199999999999998,0.36109036
